time	V(buf)
5.413861304356507e-03	1.522016e+00
5.483615768642220e-03	1.748395e+00
5.553370232927933e-03	1.974687e+00
5.623124697213646e-03	2.200891e+00
5.662187197213645e-03	2.327526e+00
5.681718447213644e-03	2.390832e+00
5.701249697213644e-03	2.454133e+00
5.703691103463644e-03	2.462044e+00
5.708573915963644e-03	2.477867e+00
5.709794619088644e-03	2.481822e+00
5.712236025338644e-03	2.489728e+00
5.712581632305268e-03	2.490843e+00
5.712668034046923e-03	2.491119e+00
5.712840837530235e-03	2.491665e+00
5.712884038401062e-03	2.491797e+00
5.712970440142718e-03	2.492053e+00
5.712992040578132e-03	2.492112e+00
5.713035241448960e-03	2.492187e+00
5.713121643190615e-03	2.492177e+00
5.713138240656224e-03	2.492072e+00
5.713171435587441e-03	2.491832e+00
5.713204079807609e-03	2.492187e+00
5.713243440167572e-03	2.492957e+00
5.713271048656749e-03	2.492980e+00
5.713292796024206e-03	2.492836e+00
5.713313587050821e-03	2.492848e+00
5.713343677849583e-03	2.492903e+00
5.713375279612351e-03	2.492987e+00
5.713397898756150e-03	2.493093e+00
5.713412836859211e-03	2.493165e+00
5.713427954992707e-03	2.493176e+00
5.713441198864883e-03	2.493168e+00
5.713455260584611e-03	2.493179e+00
5.713473651579465e-03	2.493192e+00
5.713499345207584e-03	2.493214e+00
5.713525896802556e-03	2.493233e+00
5.713559187741001e-03	2.493241e+00
5.713584858039690e-03	2.493218e+00
5.713603527281235e-03	2.493177e+00
5.713626589518538e-03	2.493111e+00
5.713644000841098e-03	2.493055e+00
5.713663479195373e-03	2.492987e+00
5.713690013814956e-03	2.492889e+00
5.713723275695097e-03	2.492762e+00
5.713788594672646e-03	2.492512e+00
5.713873473089423e-03	2.492199e+00
5.713976009519762e-03	2.491839e+00
5.714075943649405e-03	2.491502e+00
5.714232144293092e-03	2.490985e+00
5.714407392304088e-03	2.490406e+00
5.714648406710880e-03	2.489608e+00
5.714907334140244e-03	2.488749e+00
5.715274521646499e-03	2.487531e+00
5.715738539822291e-03	2.485991e+00
5.716502170535541e-03	2.483455e+00
5.717010482121427e-03	2.481770e+00
5.717459576594424e-03	2.480278e+00
5.717833094326185e-03	2.479035e+00
5.718251653534110e-03	2.477645e+00
5.718641520671926e-03	2.476349e+00
5.719044829486573e-03	2.475008e+00
5.719801832273444e-03	2.472492e+00
5.721138712442512e-03	2.468046e+00
5.723812472780649e-03	2.459154e+00
5.756402518232058e-03	2.350730e+00
5.937764125374911e-03	1.747264e+00
6.119125732517765e-03	1.143917e+00
6.300487339660618e-03	5.406874e-01
6.481848946803471e-03	-6.242371e-02
6.663210553946325e-03	-6.654166e-01
6.844572161089178e-03	-1.268291e+00
7.025933768232031e-03	-1.871047e+00
7.048255196803459e-03	-1.945220e+00
7.070576625374887e-03	-2.019391e+00
7.092898053946315e-03	-2.093559e+00
7.115219482517744e-03	-2.167725e+00
7.137540911089171e-03	-2.241888e+00
7.159862339660599e-03	-2.316049e+00
7.182183768232027e-03	-2.390208e+00
7.201715018232027e-03	-2.455095e+00
7.221246268232027e-03	-2.519981e+00
7.223687674482027e-03	-2.528091e+00
7.228570486982027e-03	-2.544312e+00
7.229791190107027e-03	-2.548367e+00
7.232232596357027e-03	-2.556478e+00
7.232842947919527e-03	-2.558505e+00
