"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"C3";"CIIVA_IDS";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COMPONENT_LINK_4_DESCRIPTION";"COMPONENT_LINK_4_URL";"DAC_OUTPUTS";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_V";"MF";"MOUNTING_TECHNOLOGY";"MOUSER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OP_PWR_DISS";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PACKING";"PIN_0_0_6_INSIDE_EDGE";"POPULARITY";"PREFIX";"PRICE";"RELEASE_DATE";"RESOLUTION_BITS";"ROHS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SETTLING_TIME";"SINGLE_SUPPLY";"SPICEPREFIX";"VAULT_GUID";"VAULT_REVISION";
"4";"1n";"C-EUC0805";"C0805";"C3, C4, C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"2";"1u";"C-EUC0805";"C0805";"C42, C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"15";"1u";"C-EUC1206";"C1206";"C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"1";"2.2uF";"C-US0805";"C0805";"C60";"SMD Multilayer Ceramic Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"80-C0805C104J5RAUTO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"220k";"R-EU_R0805";"R0805";"R65, R71, R77";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"1";"22k";"R-EU_R0805";"R0805";"R61";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"1";"22u";"CPOL-EUB45181A";"B45181A";"C50";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"24C04AP";"24C04AP";"DIL8";"24C04";"Serial EEPROM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RAMTRON INTERNATIONAL CORP";"";"";"";"";"";"FM24C04A-P";"1094258";"97H6447";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"24k";"R-EU_R0805";"R0805";"R11, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"11";"27k";"R-EU_R0805";"R0805";"R28, R29, R30, R31, R33, R34, R35, R36, R46, R47, R58";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
